days,11,12,13,14,15,16,17
จำนวนการเกิดอุบัติเหตุ,379,471,689,488,454,273,238
จำนวนผู้ได้รับบาดเจ็บ,402,491,747,502,501,283,299
จำนวนผู้เสียชีวิต,39,63,59,43,44,23,43
