days,10,11,12,13,14,15,16
จำนวนอุบัติเหตุ,392,538,675,863,638,528,343
จำนวนผู้ได้รับบาดเจ็บ,410,582,726,940,717,586,371
จำนงนผู้เสียชีวิต,36,59,44,81,52,49,52
